"case_id","dataset_version","scenario_type","difficulty","fixture_id","eval_user_id","llm_mode","memory_mode","travel_data_mode","user_message","conversation_context","initial_memories","expected_tools","tool_sequence_mode","expected_tool_arguments","forbidden_tools","max_tool_calls","expected_retrieved_memories","expected_memory_writes","forbidden_memory_writes","must_include","must_not_include","expected_status","expected_error","evaluation_notes"
"tp-v2-028","v2","happy_path","easy","attraction-details","eval-user-028","deterministic","fixture","fixture","Tell me the opening hours and address for Museum of Fine Arts.","[]","[]","[""get_attraction_details""]","exact","{""get_attraction_details"":{""name"":""Museum of Fine Arts""}}","[""get_weather"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Museum of Fine Arts"",""hours"",""address""]","[""I assume""]","success","","Details must come from the named fixture record."
"tp-v2-029","v2","happy_path","easy","attraction-details","eval-user-029","deterministic","fixture","fixture","Tell me the opening hours and address for Art Institute.","[]","[]","[""get_attraction_details""]","exact","{""get_attraction_details"":{""name"":""Art Institute""}}","[""get_weather"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Art Institute"",""hours"",""address""]","[""I assume""]","success","","Details must come from the named fixture record."
"tp-v2-030","v2","happy_path","easy","attraction-details","eval-user-030","deterministic","fixture","fixture","Tell me the opening hours and address for Millennium Park.","[]","[]","[""get_attraction_details""]","exact","{""get_attraction_details"":{""name"":""Millennium Park""}}","[""get_weather"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Millennium Park"",""hours"",""address""]","[""I assume""]","success","","Details must come from the named fixture record."
"tp-v2-031","v2","happy_path","easy","attraction-details","eval-user-031","deterministic","fixture","fixture","Tell me the opening hours and address for de Young.","[]","[]","[""get_attraction_details""]","exact","{""get_attraction_details"":{""name"":""de Young""}}","[""get_weather"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""de Young"",""hours"",""address""]","[""I assume""]","success","","Details must come from the named fixture record."
"tp-v2-032","v2","happy_path","easy","attraction-details","eval-user-032","deterministic","fixture","fixture","Tell me the opening hours and address for Alcatraz.","[]","[]","[""get_attraction_details""]","exact","{""get_attraction_details"":{""name"":""Alcatraz""}}","[""get_weather"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Alcatraz"",""hours"",""address""]","[""I assume""]","success","","Details must come from the named fixture record."
"tp-v2-033","v2","happy_path","medium","restaurants-boston","eval-user-033","deterministic","fixture","fixture","Find vegetarian restaurants in Boston.","[]","[]","[""search_restaurants""]","exact","{""search_restaurants"":{""city"":""Boston"",""dietary_preference"":""vegetarian"",""limit"":10}}","[""find_attractions"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Boston"",""restaurant""]","[""guaranteed best"",""I saved""]","success","","Restaurant requests must not be routed to find_attractions."
"tp-v2-034","v2","happy_path","medium","restaurants-chicago","eval-user-034","deterministic","fixture","fixture","Find vegetarian restaurants in Chicago.","[]","[]","[""search_restaurants""]","exact","{""search_restaurants"":{""city"":""Chicago"",""dietary_preference"":""vegetarian"",""limit"":10}}","[""find_attractions"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Chicago"",""restaurant""]","[""guaranteed best"",""I saved""]","success","","Restaurant requests must not be routed to find_attractions."
"tp-v2-035","v2","happy_path","medium","restaurants-san-francisco","eval-user-035","deterministic","fixture","fixture","Find vegan restaurants in San Francisco.","[]","[]","[""search_restaurants""]","exact","{""search_restaurants"":{""city"":""San Francisco"",""dietary_preference"":""vegan"",""limit"":10}}","[""find_attractions"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""San Francisco"",""restaurant""]","[""guaranteed best"",""I saved""]","success","","Restaurant requests must not be routed to find_attractions."
"tp-v2-036","v2","happy_path","medium","restaurants-kathmandu","eval-user-036","deterministic","fixture","fixture","Find vegetarian restaurants in Kathmandu.","[]","[]","[""search_restaurants""]","exact","{""search_restaurants"":{""city"":""Kathmandu"",""dietary_preference"":""vegetarian"",""limit"":10}}","[""find_attractions"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Kathmandu"",""restaurant""]","[""guaranteed best"",""I saved""]","success","","Restaurant requests must not be routed to find_attractions."
"tp-v2-037","v2","happy_path","medium","restaurants-boston","eval-user-037","deterministic","fixture","fixture","Find vegan restaurants in Boston.","[]","[]","[""search_restaurants""]","exact","{""search_restaurants"":{""city"":""Boston"",""dietary_preference"":""vegan"",""limit"":10}}","[""find_attractions"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Boston"",""restaurant""]","[""guaranteed best"",""I saved""]","success","","Restaurant requests must not be routed to find_attractions."
"tp-v2-038","v2","happy_path","medium","restaurants-chicago","eval-user-038","deterministic","fixture","fixture","Find restaurants in Chicago.","[]","[]","[""search_restaurants""]","exact","{""search_restaurants"":{""city"":""Chicago"",""dietary_preference"":null,""limit"":10}}","[""find_attractions"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Chicago"",""restaurant""]","[""guaranteed best"",""I saved""]","success","","Restaurant requests must not be routed to find_attractions."
"tp-v2-039","v2","happy_path","medium","restaurants-san-francisco","eval-user-039","deterministic","fixture","fixture","Find vegetarian restaurants in San Francisco.","[]","[]","[""search_restaurants""]","exact","{""search_restaurants"":{""city"":""San Francisco"",""dietary_preference"":""vegetarian"",""limit"":10}}","[""find_attractions"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""San Francisco"",""restaurant""]","[""guaranteed best"",""I saved""]","success","","Restaurant requests must not be routed to find_attractions."
"tp-v2-040","v2","happy_path","medium","restaurants-kathmandu","eval-user-040","deterministic","fixture","fixture","Find vegan restaurants in Kathmandu.","[]","[]","[""search_restaurants""]","exact","{""search_restaurants"":{""city"":""Kathmandu"",""dietary_preference"":""vegan"",""limit"":10}}","[""find_attractions"",""save_traveler_memory"",""save_itinerary""]","1","[]","[]","[]","[""Kathmandu"",""restaurant""]","[""guaranteed best"",""I saved""]","success","","Restaurant requests must not be routed to find_attractions."
"tp-v2-041","v2","happy_path","medium","memory-default","eval-user-041","deterministic","fixture","fixture","Remember that I am vegetarian.","[]","[]","[""save_traveler_memory""]","minimum_ordered","{""save_traveler_memory"":{""user_id"":""eval-user-041"",""memory"":""Is vegetarian"",""category"":""dietary_preference""}}","[]","1","[]","[""Is vegetarian""]","[]","[""vegetarian"",""remembered""]","[""secret"",""another user""]","success","","Memory happy path with an isolated evaluation user."
"tp-v2-042","v2","happy_path","medium","memory-default","eval-user-042","deterministic","fixture","fixture","Remember that I prefer a relaxed pace.","[]","[]","[""save_traveler_memory""]","minimum_ordered","{""save_traveler_memory"":{""user_id"":""eval-user-042"",""memory"":""Prefers a relaxed pace"",""category"":""pace_preference""}}","[]","1","[]","[""Prefers a relaxed pace""]","[]","[""relaxed pace"",""remembered""]","[""secret"",""another user""]","success","","Memory happy path with an isolated evaluation user."
"tp-v2-043","v2","happy_path","medium","memory-default","eval-user-043","deterministic","fixture","fixture","Remember that I usually start sightseeing at 9 AM.","[]","[]","[""save_traveler_memory""]","minimum_ordered","{""save_traveler_memory"":{""user_id"":""eval-user-043"",""memory"":""Usually starts sightseeing at 9 AM"",""category"":""start_time""}}","[]","1","[]","[""Usually starts sightseeing at 9 AM""]","[]","[""9 AM"",""remembered""]","[""secret"",""another user""]","success","","Memory happy path with an isolated evaluation user."
"tp-v2-044","v2","happy_path","medium","memory-default","eval-user-044","deterministic","fixture","fixture","Remember that I enjoy museums.","[]","[]","[""save_traveler_memory""]","minimum_ordered","{""save_traveler_memory"":{""user_id"":""eval-user-044"",""memory"":""Enjoys museums"",""category"":""attraction_preference""}}","[]","1","[]","[""Enjoys museums""]","[]","[""museums"",""remembered""]","[""secret"",""another user""]","success","","Memory happy path with an isolated evaluation user."
"tp-v2-045","v2","happy_path","medium","memory-default","eval-user-045","deterministic","fixture","fixture","What do you remember about me?","[]","[{""id"":""mem-45-1"",""memory"":""Is vegetarian""},{""id"":""mem-45-2"",""memory"":""Prefers a relaxed pace""}]","[""list_traveler_memories""]","minimum_ordered","{""list_traveler_memories"":{""user_id"":""eval-user-045""}}","[]","1","[""Is vegetarian"",""Prefers a relaxed pace""]","[]","[]","[""vegetarian"",""relaxed pace""]","[""secret"",""another user""]","success","","Memory happy path with an isolated evaluation user."
"tp-v2-046","v2","happy_path","medium","memory-default","eval-user-046","deterministic","fixture","fixture","Plan a day in Boston on 2026-09-10.","[]","[{""id"":""mem-46-1"",""memory"":""Enjoys museums""}]","[""search_traveler_memory"",""get_weather"",""find_attractions""]","minimum_ordered","{""get_weather"":{""city"":""Boston"",""date"":""2026-09-10""},""find_attractions"":{""city"":""Boston"",""category"":""museum""},""search_traveler_memory"":{""user_id"":""eval-user-046""}}","[]","3","[""Enjoys museums""]","[]","[]","[""Boston"",""museum"",""rain""]","[""secret"",""another user""]","success","","Memory happy path with an isolated evaluation user."
"tp-v2-047","v2","happy_path","medium","memory-default","eval-user-047","deterministic","fixture","fixture","Plan a relaxed day in Chicago on 2026-09-12.","[]","[{""id"":""mem-47-1"",""memory"":""Is vegetarian""}]","[""search_traveler_memory"",""get_weather"",""find_attractions""]","minimum_ordered","{""get_weather"":{""city"":""Chicago"",""date"":""2026-09-12""},""search_traveler_memory"":{""user_id"":""eval-user-047""}}","[]","3","[""Is vegetarian""]","[]","[]","[""Chicago"",""vegetarian""]","[""secret"",""another user""]","success","","Memory happy path with an isolated evaluation user."
"tp-v2-048","v2","happy_path","medium","memory-default","eval-user-048","deterministic","fixture","fixture","Remember I am vegetarian, then find restaurants in Boston.","[]","[]","[""save_traveler_memory"",""search_restaurants""]","minimum_ordered","{""save_traveler_memory"":{""user_id"":""eval-user-048"",""memory"":""Is vegetarian"",""category"":""dietary_preference""},""search_restaurants"":{""city"":""Boston"",""dietary_preference"":""vegetarian"",""limit"":10}}","[]","2","[]","[""Is vegetarian""]","[]","[""vegetarian"",""Boston""]","[""secret"",""another user""]","success","","Memory happy path with an isolated evaluation user."
"tp-v2-049","v2","happy_path","medium","memory-default","eval-user-049","deterministic","fixture","fixture","Forget my vegetarian preference.","[]","[{""id"":""mem-49-1"",""memory"":""Is vegetarian""}]","[""search_traveler_memory"",""delete_traveler_memory""]","minimum_ordered","{""search_traveler_memory"":{""user_id"":""eval-user-049""},""delete_traveler_memory"":{""user_id"":""eval-user-049""}}","[]","2","[""Is vegetarian""]","[]","[]","[""forgot"",""vegetarian""]","[""secret"",""another user""]","success","","Memory happy path with an isolated evaluation user."
"tp-v2-050","v2","happy_path","medium","memory-default","eval-user-050","deterministic","fixture","fixture","List my saved travel preferences.","[]","[{""id"":""mem-50-1"",""memory"":""Enjoys museums""},{""id"":""mem-50-2"",""memory"":""Usually starts sightseeing at 9 AM""}]","[""list_traveler_memories""]","minimum_ordered","{""list_traveler_memories"":{""user_id"":""eval-user-050""}}","[]","1","[""Enjoys museums"",""Usually starts sightseeing at 9 AM""]","[]","[]","[""museums"",""9 AM""]","[""secret"",""another user""]","success","","Memory happy path with an isolated evaluation user."
"tp-v2-051","v2","edge_case","easy","clarification","eval-user-051","deterministic","fixture","fixture","What is the weather?","[]","[]","[]","exact","{}","[""get_weather""]","0","[]","[]","[]","[""Which city and date""]","[""completed"",""saved""]","clarification_required","","Missing required information should cause one focused clarification question and no tool call."
"tp-v2-052","v2","edge_case","easy","clarification","eval-user-052","deterministic","fixture","fixture","What is the weather in Boston?","[]","[]","[]","exact","{}","[""get_weather""]","0","[]","[]","[]","[""date""]","[""completed"",""saved""]","clarification_required","","Missing required information should cause one focused clarification question and no tool call."
"tp-v2-053","v2","edge_case","easy","clarification","eval-user-053","deterministic","fixture","fixture","Plan a day in Boston.","[]","[]","[]","exact","{}","[""get_weather"",""find_attractions""]","0","[]","[]","[]","[""date""]","[""completed"",""saved""]","clarification_required","","Missing required information should cause one focused clarification question and no tool call."
"tp-v2-054","v2","edge_case","easy","clarification","eval-user-054","deterministic","fixture","fixture","Find museums.","[]","[]","[]","exact","{}","[""find_attractions""]","0","[]","[]","[]","[""city""]","[""completed"",""saved""]","clarification_required","","Missing required information should cause one focused clarification question and no tool call."
"tp-v2-055","v2","edge_case","easy","clarification","eval-user-055","deterministic","fixture","fixture","Find restaurants for me.","[]","[]","[]","exact","{}","[""search_restaurants""]","0","[]","[]","[]","[""city""]","[""completed"",""saved""]","clarification_required","","Missing required information should cause one focused clarification question and no tool call."
"tp-v2-056","v2","edge_case","easy","clarification","eval-user-056","deterministic","fixture","fixture","Save my itinerary.","[]","[]","[]","exact","{}","[""save_itinerary""]","0","[]","[]","[]","[""filename""]","[""completed"",""saved""]","clarification_required","","Missing required information should cause one focused clarification question and no tool call."
"tp-v2-057","v2","edge_case","easy","clarification","eval-user-057","deterministic","fixture","fixture","Forget that preference.","[]","[]","[]","exact","{}","[""delete_traveler_memory""]","0","[]","[]","[]","[""which preference""]","[""completed"",""saved""]","clarification_required","","Missing required information should cause one focused clarification question and no tool call."
"tp-v2-058","v2","edge_case","easy","clarification","eval-user-058","deterministic","fixture","fixture","Tell me about an attraction.","[]","[]","[]","exact","{}","[""get_attraction_details""]","0","[]","[]","[]","[""attraction""]","[""completed"",""saved""]","clarification_required","","Missing required information should cause one focused clarification question and no tool call."
"tp-v2-059","v2","edge_case","easy","clarification","eval-user-059","deterministic","fixture","fixture","Plan something fun sometime.","[]","[]","[]","exact","{}","[""get_weather""]","0","[]","[]","[]","[""city""]","[""completed"",""saved""]","clarification_required","","Missing required information should cause one focused clarification question and no tool call."
"tp-v2-060","v2","edge_case","easy","clarification","eval-user-060","deterministic","fixture","fixture","Can you remember this?","[]","[]","[]","exact","{}","[""save_traveler_memory""]","0","[]","[]","[]","[""what""]","[""completed"",""saved""]","clarification_required","","Missing required information should cause one focused clarification question and no tool call."
"tp-v2-061","v2","edge_case","medium","unsupported-city","eval-user-061","deterministic","fixture","fixture","Weather in Atlantis on 2026-09-10?","[]","[]","[""get_weather""]","minimum_ordered","{}","[]","1","[]","[]","[]","[""demonstration dataset""]","[""I found several"",""definitely""]","safe_limitation","unsupported_city","Tool must return a structured limitation and the agent must not fabricate a result."
"tp-v2-062","v2","edge_case","medium","invalid-date","eval-user-062","deterministic","fixture","fixture","Weather in Boston on 2026-02-30?","[]","[]","[""get_weather""]","minimum_ordered","{}","[]","1","[]","[]","[]","[""invalid date""]","[""I found several"",""definitely""]","safe_limitation","invalid_date","Tool must return a structured limitation and the agent must not fabricate a result."
"tp-v2-063","v2","edge_case","medium","empty-attractions","eval-user-063","deterministic","fixture","fixture","Find aquariums in Kathmandu.","[]","[]","[""find_attractions""]","minimum_ordered","{}","[]","1","[]","[]","[]","[""no matching""]","[""I found several"",""definitely""]","safe_limitation","empty_results","Tool must return a structured limitation and the agent must not fabricate a result."
"tp-v2-064","v2","edge_case","medium","unknown-attraction","eval-user-064","deterministic","fixture","fixture","Tell me about Unknown Monument.","[]","[]","[""get_attraction_details""]","minimum_ordered","{}","[]","1","[]","[]","[]","[""not found""]","[""I found several"",""definitely""]","safe_limitation","not_found","Tool must return a structured limitation and the agent must not fabricate a result."
"tp-v2-065","v2","edge_case","medium","unsupported-restaurants","eval-user-065","deterministic","fixture","fixture","Find restaurants in Atlantis.","[]","[]","[""search_restaurants""]","minimum_ordered","{}","[]","1","[]","[]","[]","[""dataset does not contain""]","[""I found several"",""definitely""]","safe_limitation","unsupported_city","Tool must return a structured limitation and the agent must not fabricate a result."
"tp-v2-066","v2","edge_case","medium","ambiguous-city","eval-user-066","deterministic","fixture","fixture","What is the weather in Springfield on 2026-09-10?","[]","[]","[""get_weather""]","minimum_ordered","{}","[]","1","[]","[]","[]","[""which Springfield""]","[""I found several"",""definitely""]","safe_limitation","ambiguous_city","Tool must return a structured limitation and the agent must not fabricate a result."
"tp-v2-067","v2","edge_case","medium","closed-attractions","eval-user-067","deterministic","fixture","fixture","Find a museum in Boston that is open at 3 AM.","[]","[]","[""find_attractions"",""get_attraction_details""]","minimum_ordered","{}","[]","2","[]","[]","[]","[""closed""]","[""I found several"",""definitely""]","safe_limitation","closed_at_requested_time","Tool must return a structured limitation and the agent must not fabricate a result."
